fileName,subject,imgNum,label,ang,xF,yF,wF,hF,xRE,yRE,xLE,yLE,xN,yN,xRM,yRM,xLM,yLM
20130529_01_Driv_021_f ,1,21,2,0,288,221,114,120,328,249,374,250,355,273,337,298,365,299
20130529_01_Driv_022_f ,1,22,2,0,295,218,112,125,334,245,378,247,360,272,344,296,370,295
20130529_01_Driv_023_f ,1,23,2,0,294,234,110,116,333,259,379,261,359,285,344,308,367,309
20130529_01_Driv_024_f ,1,24,2,-15,294,209,115,121,334,236,379,238,359,262,344,284,367,285
20130529_01_Driv_025_f ,1,25,2,-15,297,204,110,122,331,234,377,238,354,261,336,284,364,285
20130529_01_Driv_026_lr,1,26,1,-30,291,211,111,129,319,240,369,245,341,272,327,293,352,295
20130529_01_Driv_027_lr,1,27,1,-30,280,239,122,119,311,266,356,270,324,294,314,314,337,316
20130529_01_Driv_028_lr,1,28,1,-45,271,235,111,123,300,264,345,269,312,291,302,311,327,312
20130529_01_Driv_029_lr,1,29,1,-45,272,217,113,126,297,247,341,249,304,271,299,291,320,292
20130529_01_Driv_030_lr,1,30,1,-45,257,220,110,122,287,246,330,248,291,271,288,295,319,295
20130529_01_Driv_031_lr,1,31,1,-45,265,220,108,127,294,248,341,247,305,274,297,295,329,296
20130529_01_Driv_032_lr,1,32,1,-30,268,219,113,125,299,249,350,252,317,276,307,299,337,298
20130529_01_Driv_033_f ,1,33,2,-15,276,221,112,126,307,249,356,250,327,278,313,300,349,299
20130529_01_Driv_034_f ,1,34,2,0,275,221,122,128,311,249,363,250,334,277,317,297,353,298
20130529_01_Driv_035_f ,1,35,2,0,280,214,117,127,318,244,367,245,341,269,322,292,358,292
20130529_01_Driv_036_f ,1,36,2,0,284,215,118,131,325,246,372,247,347,275,326,295,364,297
20130529_01_Driv_037_f ,1,37,2,0,284,218,120,130,325,249,373,252,351,278,327,297,365,298
20130529_01_Driv_038_f ,1,38,2,0,284,220,120,130,325,247,376,250,352,274,331,297,365,295
20130529_01_Driv_039_f ,1,39,2,0,287,211,118,132,328,242,377,244,356,272,332,293,368,293
20130529_01_Driv_040_f ,1,40,2,0,286,215,117,128,329,244,377,247,356,274,332,295,367,295
20130529_01_Driv_041_f ,1,41,2,0,284,217,117,130,330,246,376,249,355,274,330,295,368,294
20130529_01_Driv_042_f ,1,42,2,0,286,214,121,126,331,244,376,245,357,274,331,292,370,294
20130529_01_Driv_043_f ,1,43,2,0,287,218,122,127,331,245,379,246,359,274,334,294,372,294
20130529_01_Driv_044_f ,1,44,2,0,285,218,129,126,333,245,379,246,361,271,336,295,371,294
20130529_01_Driv_045_f ,1,45,2,0,282,217,127,126,331,244,378,247,362,272,335,295,374,295
20130529_01_Driv_046_f ,1,46,2,0,289,218,121,129,333,246,381,249,361,273,339,294,373,295
20130529_01_Driv_047_f ,1,47,2,0,287,220,126,121,334,244,380,249,362,275,335,296,374,296
20130529_01_Driv_048_f ,1,48,2,0,286,215,125,125,334,241,379,244,361,269,333,291,374,291
20130529_01_Driv_049_f ,1,49,2,0,287,214,124,125,334,240,380,243,362,268,336,288,373,289
20130529_01_Driv_050_f ,1,50,2,0,285,212,126,122,333,237,379,241,361,266,336,286,373,286
20130529_01_Driv_051_f ,1,51,2,0,287,211,126,123,333,236,380,240,360,263,335,284,373,285
20130529_01_Driv_052_f ,1,52,2,0,284,206,127,123,333,233,377,237,361,263,337,283,372,282
20130529_01_Driv_053_f ,1,53,2,0,284,204,127,128,333,234,378,237,361,262,336,281,373,281
20130529_01_Driv_054_f ,1,54,2,0,285,206,127,125,331,235,379,236,360,261,336,282,371,282
20130529_01_Driv_055_f ,1,55,2,0,285,207,127,119,333,235,377,237,361,261,336,280,370,281
20130529_01_Driv_056_f ,1,56,2,0,287,205,126,126,334,234,378,235,361,260,335,281,371,281
20130529_01_Driv_057_f ,1,57,2,0,285,203,128,130,333,231,379,234,362,258,337,280,373,280
20130529_01_Driv_058_f ,1,58,2,0,284,204,130,124,334,231,380,234,363,257,336,278,373,280
20130529_01_Driv_059_f ,1,59,2,0,281,202,133,124,334,230,380,232,364,255,338,276,376,277
20130529_01_Driv_060_f ,1,60,2,0,285,205,128,124,334,232,379,233,362,257,339,278,373,278
20130529_01_Driv_061_f ,1,61,2,0,287,206,123,117,332,231,378,232,361,258,336,277,373,277
20130529_01_Driv_062_f ,1,62,2,0,287,201,123,121,333,227,377,230,362,255,337,275,373,274
20130529_01_Driv_063_f ,1,63,2,0,286,204,125,120,333,230,377,231,362,254,339,275,371,276
20130529_01_Driv_064_f ,1,64,2,0,285,203,123,118,333,231,376,230,362,252,339,275,373,275
20130529_01_Driv_065_f ,1,65,2,0,292,207,118,114,333,231,377,231,363,254,339,277,370,277
20130529_01_Driv_066_f ,1,66,2,0,293,206,115,121,336,231,382,232,362,255,339,276,371,278
20130529_01_Driv_067_f ,1,67,2,0,291,200,119,118,334,228,378,230,363,252,342,274,372,275
20130529_01_Driv_068_f ,1,68,2,0,292,203,113,116,334,228,378,232,364,253,342,274,373,274
20130529_01_Driv_069_f ,1,69,2,0,292,204,118,121,332,229,378,230,363,252,341,274,370,276
20130529_01_Driv_070_f ,1,70,2,0,288,202,118,122,333,229,377,231,362,252,341,273,370,275
20130529_01_Driv_071_f ,1,71,2,0,289,206,124,121,333,231,376,233,361,254,337,277,371,277
20130529_01_Driv_072_f ,1,72,2,0,291,204,116,119,333,230,376,232,362,253,337,276,368,277
20130529_01_Driv_073_f ,1,73,2,0,290,201,118,122,334,229,376,231,361,252,338,274,368,276
20130529_01_Driv_074_f ,1,74,2,0,291,210,115,119,333,231,376,234,360,255,337,275,370,279
20130529_01_Driv_075_f ,1,75,2,0,291,204,116,119,333,229,377,233,360,252,336,275,371,276
20130529_01_Driv_076_f ,1,76,2,0,290,204,117,120,333,229,375,232,359,252,335,274,369,275
20130529_01_Driv_077_f ,1,77,2,0,290,201,114,118,333,227,375,230,359,250,334,273,368,275
20130529_01_Driv_078_f ,1,78,2,0,293,203,113,116,333,229,377,232,361,251,337,274,369,276
20130529_01_Driv_079_f ,1,79,2,0,293,206,111,115,331,229,377,232,356,254,334,276,369,276
20130529_01_Driv_080_f ,1,80,2,0,288,201,118,117,331,228,376,230,357,249,332,273,369,274
20130529_01_Driv_081_f ,1,81,2,0,290,201,115,117,332,228,377,229,359,248,335,275,366,274
20130529_01_Driv_082_f ,1,82,2,0,286,204,119,119,332,229,376,231,358,250,335,274,366,276
20130529_01_Driv_083_f ,1,83,2,0,287,203,122,123,331,229,375,233,357,250,336,275,368,276
20130529_01_Driv_084_f ,1,84,2,0,284,206,120,118,333,229,376,230,359,247,336,274,368,276
20130529_01_Driv_085_f ,1,85,2,0,285,206,120,117,330,229,374,232,357,250,334,275,368,275
20130529_01_Driv_086_f ,1,86,2,0,285,203,123,121,329,229,376,232,357,250,335,277,367,277
20130529_01_Driv_087_f ,1,87,2,0,286,200,116,120,330,229,373,230,359,250,332,274,364,274
20130529_01_Driv_088_f ,1,88,2,0,288,205,117,119,329,232,372,234,356,255,334,276,366,278
20130529_01_Driv_089_f ,1,89,2,0,290,208,107,113,327,230,370,232,357,254,333,275,365,277
20130529_01_Driv_090_f ,1,90,2,0,284,204,115,114,324,229,368,231,351,254,332,276,364,276
20130529_01_Driv_091_f ,1,91,2,0,283,207,114,116,322,231,367,232,347,257,330,275,360,275
20130529_01_Driv_092_f ,1,92,2,0,285,209,110,109,320,232,365,233,345,255,330,277,361,278
20130529_01_Driv_093_f ,1,93,2,0,288,204,103,118,319,231,363,234,345,255,325,278,357,277
20130529_01_Driv_094_f ,1,94,2,0,285,207,109,112,318,229,365,231,344,253,322,274,359,274
20130529_01_Driv_095_f ,1,95,2,0,285,212,106,112,317,237,364,237,341,258,324,281,361,281
20130529_01_Driv_096_f ,1,96,2,0,283,214,112,116,314,240,361,240,342,263,322,287,353,283
20130529_01_Driv_097_f ,1,97,2,0,277,221,114,111,315,244,359,242,342,264,321,289,353,288
20130529_01_Driv_098_f ,1,98,2,0,279,216,115,115,314,240,362,241,342,263,322,287,356,288
20130529_01_Driv_099_f ,1,99,2,0,279,215,116,117,317,240,360,240,342,263,321,286,357,286
20130529_01_Driv_100_f ,1,100,2,0,279,212,117,120,320,240,367,238,342,262,328,285,356,283
20130529_01_Driv_101_f ,1,101,2,0,280,211,114,113,317,232,365,234,342,255,325,281,354,281
20130529_01_Driv_102_f ,1,102,2,0,282,210,114,114,319,234,365,237,341,257,327,283,355,283
20130529_01_Driv_103_f ,1,103,2,0,281,214,113,113,317,236,364,236,344,258,326,283,357,282
20130529_01_Driv_104_f ,1,104,2,0,280,212,119,115,317,234,363,236,342,258,329,283,354,281
20130529_01_Driv_105_f ,1,105,2,0,279,211,118,117,320,234,364,237,342,257,328,282,356,280
20130529_01_Driv_106_f ,1,106,2,0,283,214,114,115,319,236,365,237,344,260,330,286,354,283
20130529_01_Driv_107_f ,1,107,2,0,279,207,118,120,317,235,362,236,341,257,327,281,353,280
20130529_01_Driv_108_f ,1,108,2,0,281,207,112,119,318,234,363,235,341,255,327,281,354,281
20130529_01_Driv_109_f ,1,109,2,0,282,216,114,121,320,240,364,240,341,261,327,285,355,285
20130529_01_Driv_110_f ,1,110,2,0,282,217,114,122,319,238,364,240,342,259,328,285,353,285
20130529_01_Driv_111_f ,1,111,2,0,280,215,110,119,317,238,361,239,339,258,325,281,351,281
20130529_01_Driv_112_f ,1,112,2,0,280,214,110,114,317,238,362,240,341,261,328,287,352,286
20130529_01_Driv_113_f ,1,113,2,0,275,214,113,118,314,241,361,241,340,261,328,284,350,282
20130529_01_Driv_114_f ,1,114,2,0,286,224,97,107,313,241,361,243,335,264,324,287,351,286
20130529_01_Driv_115_f ,1,115,2,0,278,210,113,118,314,241,361,241,339,262,323,287,353,284
20130529_01_Driv_116_f ,1,116,2,0,279,211,113,123,315,241,359,241,341,263,322,286,355,285
20130529_01_Driv_117_f ,1,117,2,0,279,217,106,115,311,243,360,241,338,261,318,286,353,285
20130529_01_Driv_118_f ,1,118,2,0,280,215,113,111,315,239,360,240,337,260,320,284,354,281
20130529_01_Driv_119_f ,1,119,2,0,280,213,104,110,314,239,358,239,337,261,319,283,353,283
20130529_01_Driv_120_f ,1,120,2,0,279,218,109,110,313,243,357,241,336,264,315,287,350,286
20130529_01_Driv_121_f ,1,121,2,0,277,221,109,116,310,241,357,241,334,262,315,286,353,285
20130529_01_Driv_122_f ,1,122,2,0,280,215,110,112,311,240,354,241,337,265,317,286,354,284
20130529_01_Driv_123_f ,1,123,2,0,278,216,110,115,312,243,358,241,336,263,317,286,353,284
20130529_01_Driv_124_f ,1,124,2,0,277,214,111,122,312,240,357,240,337,263,319,286,351,286
20130529_01_Driv_125_f ,1,125,2,0,280,217,110,116,312,241,359,240,337,260,323,286,354,285
20130529_01_Driv_126_f ,1,126,2,0,273,217,117,117,314,241,361,240,339,261,322,284,353,284
20130529_01_Driv_127_f ,1,127,2,0,279,215,111,117,316,243,362,243,342,264,321,287,355,286
20130529_01_Driv_128_f ,1,128,2,0,276,212,113,117,314,238,359,237,344,257,322,284,359,281
20130529_01_Driv_129_f ,1,129,2,0,277,209,108,118,316,237,360,238,344,259,325,283,359,282
20130529_01_Driv_130_f ,1,130,2,0,274,213,116,119,316,241,362,240,345,261,324,284,356,284
20130529_01_Driv_131_f ,1,131,2,0,274,216,112,119,320,240,364,239,346,260,327,284,359,283
20130529_01_Driv_132_f ,1,132,2,0,282,217,108,114,319,241,365,241,345,261,327,285,359,283
20130529_01_Driv_133_f ,1,133,2,0,280,216,110,110,319,239,364,240,347,260,328,283,359,280
20130529_01_Driv_134_f ,1,134,2,0,282,214,104,110,319,239,364,238,347,258,327,283,357,281
20130529_01_Driv_135_f ,1,135,2,0,280,214,109,117,320,239,367,240,345,261,329,283,359,283
20130529_01_Driv_136_f ,1,136,2,0,284,213,105,113,320,237,366,237,348,263,325,283,362,281
20130529_01_Driv_137_f ,1,137,2,0,282,209,111,119,319,236,362,237,346,257,328,280,362,281
20130529_01_Driv_138_f ,1,138,2,0,281,215,110,108,322,237,366,237,352,259,329,281,361,281
20130529_01_Driv_139_f ,1,139,2,0,279,215,108,112,324,236,364,237,350,258,328,281,359,281
20130529_01_Driv_140_f ,1,140,2,0,282,211,106,116,322,236,365,235,349,257,329,278,361,280
20130529_01_Driv_141_f ,1,141,2,0,281,210,109,113,321,234,364,235,350,257,325,282,362,278
20130529_01_Driv_142_f ,1,142,2,0,275,221,112,116,319,243,363,243,348,263,325,286,358,286
20130529_01_Driv_143_f ,1,143,2,0,276,221,110,114,319,244,364,244,348,266,330,286,359,287
20130529_01_Driv_144_f ,1,144,2,0,280,224,105,114,317,248,363,247,347,268,330,290,361,291
20130529_01_Driv_145_f ,1,145,2,0,283,215,103,112,319,240,366,239,347,257,330,283,358,281
20130529_01_Driv_146_f ,1,146,2,0,278,205,114,114,322,229,365,230,351,257,330,278,361,280
20130529_01_Driv_147_f ,1,147,2,0,271,206,114,109,319,227,361,227,350,250,325,272,357,271
20130529_01_Driv_148_f ,1,148,2,0,271,224,114,114,320,250,363,251,349,272,325,295,358,295
20130529_01_Driv_149_f ,1,149,2,0,273,227,114,111,318,249,364,249,346,268,328,292,356,293
20130529_01_Driv_150_f ,1,150,2,0,276,221,108,105,320,241,363,241,348,262,328,285,359,285
20130529_01_Driv_151_f ,1,151,2,15,277,204,109,112,323,230,365,230,355,251,332,272,362,273
20130529_01_Driv_152_f ,1,152,2,15,279,200,114,114,324,223,368,223,354,245,334,269,365,270
20130529_01_Driv_153_f ,1,153,2,15,274,216,109,115,322,241,365,237,351,263,328,287,361,287
20130529_01_Driv_154_f ,1,154,2,15,279,215,108,109,321,237,363,235,354,260,332,280,361,280
20130529_01_Driv_155_f ,1,155,2,15,284,200,106,112,323,226,367,226,356,246,334,271,362,270
20130529_01_Driv_156_f ,1,156,2,15,277,211,121,117,323,232,363,234,356,255,333,280,361,280
20130529_01_Driv_157_f ,1,157,2,15,277,215,114,112,320,238,365,238,353,260,331,283,359,283
20130529_01_Driv_158_f ,1,158,2,15,272,218,125,125,323,249,366,249,357,269,334,295,361,292
20130529_01_Driv_159_f ,1,159,2,15,279,226,116,114,322,249,368,247,354,271,334,295,361,294
20130529_01_Driv_160_f ,1,160,2,15,278,224,116,116,324,247,367,249,353,269,330,289,360,293
20130529_01_Driv_161_f ,1,161,2,15,274,217,121,112,327,243,370,243,356,267,336,286,363,287
20130529_01_Driv_162_f ,1,162,2,15,280,215,116,117,327,241,371,245,357,267,339,286,363,288
20130529_01_Driv_163_f ,1,163,2,15,280,218,117,113,324,240,370,243,357,264,336,289,361,288
20130529_01_Driv_164_f ,1,164,2,15,277,223,122,117,328,243,370,245,357,269,336,293,362,290
20130529_01_Driv_165_f ,1,165,2,15,278,224,119,117,328,246,370,247,356,267,339,292,362,295
20130529_01_Driv_166_f ,1,166,2,15,279,228,120,110,330,248,368,250,361,269,342,295,364,294
20130529_01_Driv_167_f ,1,167,2,15,279,223,117,117,331,249,372,250,364,271,337,295,365,294
20130529_01_Driv_168_ll,1,168,3,30,279,218,122,116,331,246,370,246,369,267,341,290,364,291
20130529_01_Driv_169_ll,1,169,3,30,276,224,130,117,334,247,372,249,367,268,343,294,368,293
20130529_01_Driv_170_ll,1,170,3,45,278,223,127,120,337,247,376,250,373,271,352,295,371,296
20130529_01_Driv_171_ll,1,171,3,45,280,219,121,121,342,247,374,249,376,271,350,293,373,295
20130529_01_Driv_172_ll,1,172,3,45,294,191,116,127,345,219,382,215,386,241,366,268,382,266
20130529_01_Driv_173_ll,1,173,3,45,276,187,138,130,341,223,379,218,381,243,364,272,379,267
20130529_01_Driv_174_ll,1,174,3,45,280,189,128,123,340,220,379,216,381,240,362,267,381,267
20130529_01_Driv_175_ll,1,175,3,45,287,187,122,127,341,219,379,217,381,239,364,267,379,266
20130529_01_Driv_176_ll,1,176,3,45,290,189,120,132,342,218,379,217,379,239,365,270,380,266
20130529_01_Driv_177_ll,1,177,3,45,291,194,119,123,341,220,381,218,381,239,364,268,380,265
20130529_01_Driv_178_ll,1,178,3,45,289,183,127,133,341,218,382,217,379,241,362,270,382,268
20130529_01_Driv_179_ll,1,179,3,45,288,189,125,124,342,218,380,218,380,240,363,267,381,267
20130529_02_Driv_001_f ,2,1,2,15,306,161,111,125,347,187,396,189,380,210,361,237,390,237
20130529_02_Driv_002_f ,2,2,2,15,315,164,101,122,347,187,394,189,381,209,357,240,390,240
20130529_02_Driv_003_f ,2,3,2,15,304,164,112,127,344,189,391,190,378,209,356,241,387,242
20130529_02_Driv_004_f ,2,4,2,15,301,166,112,128,341,192,393,194,377,213,356,244,384,243
20130529_02_Driv_005_f ,2,5,2,15,300,168,118,125,341,193,388,194,377,215,354,246,384,247
20130529_02_Driv_006_f ,2,6,2,15,302,160,108,129,339,184,389,186,374,206,354,240,385,238
20130529_02_Driv_007_f ,2,7,2,15,302,159,112,128,342,183,391,185,377,206,354,237,385,237
20130529_02_Driv_008_f ,2,8,2,15,306,159,107,135,341,184,389,187,373,207,353,240,386,240
20130529_02_Driv_009_f ,2,9,2,15,300,166,113,132,341,192,388,193,375,212,351,244,384,244
20130529_02_Driv_010_f ,2,10,2,15,297,167,116,134,337,192,387,193,371,213,352,246,384,246
20130529_02_Driv_011_f ,2,11,2,15,297,160,114,127,339,186,387,186,373,207,349,241,385,239
20130529_02_Driv_012_f ,2,12,2,15,296,160,116,122,341,184,388,184,376,205,353,237,385,236
20130529_02_Driv_013_f ,2,13,2,15,298,163,109,122,339,188,388,189,374,207,351,240,382,241
20130529_02_Driv_014_f ,2,14,2,15,299,167,111,128,338,192,385,194,372,212,351,243,383,245
20130529_02_Driv_015_f ,2,15,2,15,297,171,110,116,337,194,384,195,373,212,347,246,382,244
20130529_02_Driv_016_f ,2,16,2,15,296,157,115,119,339,181,385,181,373,198,352,232,385,232
20130529_02_Driv_017_f ,2,17,2,15,301,148,109,127,339,174,391,174,377,192,354,227,385,226
20130529_02_Driv_018_f ,2,18,2,15,297,154,112,128,337,181,386,181,373,198,354,230,385,230
20130529_02_Driv_019_f ,2,19,2,15,300,165,108,125,337,189,385,190,372,207,348,242,382,242
20130529_02_Driv_020_f ,2,20,2,15,299,171,109,122,337,195,386,195,372,211,352,246,382,246
20130529_02_Driv_021_f ,2,21,2,15,299,167,113,128,339,192,387,193,373,212,352,244,385,244
20130529_02_Driv_022_f ,2,22,2,15,303,174,108,121,340,197,390,198,375,217,353,250,385,249
20130529_02_Driv_023_f ,2,23,2,15,302,172,112,123,345,198,391,199,379,216,355,249,389,247
20130529_02_Driv_024_f ,2,24,2,15,311,153,106,119,345,175,396,175,382,192,359,227,393,227
20130529_02_Driv_025_f ,2,25,2,15,311,149,112,128,353,177,401,178,385,199,360,231,397,231
20130529_02_Driv_026_f ,2,26,2,15,310,159,111,122,351,181,397,181,383,200,359,233,394,234
20130529_02_Driv_027_f ,2,27,2,15,310,151,112,129,353,178,401,177,385,200,364,232,395,232
20130529_02_Driv_028_f ,2,28,2,15,314,158,110,124,356,184,404,185,387,205,365,234,398,238
20130529_02_Driv_029_f ,2,29,2,15,313,160,115,129,356,189,400,190,386,211,365,246,397,244
20130529_02_Driv_030_f ,2,30,2,15,314,175,110,125,353,199,403,201,386,222,364,254,401,255
20130529_02_Driv_031_f ,2,31,2,15,314,178,113,123,354,203,404,203,388,224,367,255,400,255
20130529_02_Driv_032_f ,2,32,2,15,315,160,115,121,358,186,407,186,393,207,368,237,399,237
20130529_02_Driv_033_f ,2,33,2,15,322,152,113,135,362,178,410,180,395,199,373,232,406,233
20130529_02_Driv_034_f ,2,34,2,15,322,151,108,133,362,180,411,181,396,201,373,231,405,234
20130529_02_Driv_035_f ,2,35,2,15,322,166,109,136,361,194,412,196,396,213,370,247,403,247
20130529_02_Driv_036_f ,2,36,2,15,319,174,111,127,362,201,410,201,393,220,370,252,403,255
20130529_02_Driv_037_f ,2,37,2,15,320,176,109,131,361,200,409,204,394,221,369,253,406,254
20130529_02_Driv_038_f ,2,38,2,15,319,174,109,129,361,197,410,200,396,219,368,250,400,250
20130529_02_Driv_039_f ,2,39,2,15,318,174,115,132,361,202,408,201,391,221,370,252,405,253
20130529_02_Driv_040_f ,2,40,2,15,317,163,113,128,359,192,409,193,394,209,368,242,404,243
20130529_02_Driv_041_f ,2,41,2,15,319,159,113,129,362,187,411,191,396,207,371,239,407,240
20130529_02_Driv_042_f ,2,42,2,15,315,158,113,133,359,186,407,189,390,208,368,239,404,240
20130529_02_Driv_043_f ,2,43,2,15,314,167,115,132,357,192,404,195,391,214,367,247,400,247
20130529_02_Driv_044_f ,2,44,2,15,311,166,115,134,354,195,404,197,390,216,364,247,398,247
20130529_02_Driv_045_f ,2,45,2,15,314,170,110,136,354,196,402,197,391,217,364,249,398,249
20130529_02_Driv_046_f ,2,46,2,15,313,165,108,130,354,191,400,193,387,209,364,240,395,242
20130529_02_Driv_047_f ,2,47,2,15,310,162,112,135,353,189,402,192,390,210,365,241,396,241
20130529_02_Driv_048_f ,2,48,2,15,308,161,117,133,353,192,400,193,389,209,362,243,397,244
20130529_02_Driv_049_f ,2,49,2,15,307,162,115,132,350,189,398,191,386,209,363,241,399,243
20130529_02_Driv_050_f ,2,50,2,15,308,162,111,127,351,188,400,190,386,209,361,239,404,240
20130529_02_Driv_051_f ,2,51,2,15,305,164,114,128,351,187,400,191,384,207,361,240,394,240
20130529_02_Driv_052_f ,2,52,2,15,309,163,110,128,350,187,398,189,382,209,362,241,396,242
20130529_02_Driv_053_f ,2,53,2,15,308,164,111,124,350,191,397,191,382,209,358,242,393,243
20130529_02_Driv_054_f ,2,54,2,15,302,165,116,134,347,194,397,194,384,211,358,241,388,243
20130529_02_Driv_055_f ,2,55,2,15,306,164,112,131,347,192,397,194,383,212,360,243,393,243
20130529_02_Driv_056_f ,2,56,2,15,306,166,114,124,350,194,396,194,384,210,360,245,394,244
20130529_02_Driv_057_f ,2,57,2,15,304,167,112,120,347,189,394,189,383,206,359,240,393,240
20130529_02_Driv_058_f ,2,58,2,15,303,172,109,123,345,195,390,197,381,213,353,245,390,245
20130529_02_Driv_059_f ,2,59,2,15,310,166,109,126,349,189,399,190,383,204,362,239,393,240
20130529_02_Driv_060_f ,2,60,2,15,305,164,112,125,347,189,395,192,386,210,363,238,393,240
20130529_02_Driv_061_f ,2,61,2,15,308,166,108,120,349,189,396,192,384,204,362,240,393,240
20130529_02_Driv_062_f ,2,62,2,15,313,164,102,126,348,185,397,188,384,203,360,236,393,236
20130529_02_Driv_063_f ,2,63,2,15,310,169,106,118,348,191,394,191,384,206,359,238,393,238
20130529_02_Driv_064_f ,2,64,2,15,304,165,110,126,344,188,390,190,378,203,355,237,389,237
20130529_02_Driv_065_f ,2,65,2,15,299,166,111,114,342,187,388,189,378,203,353,235,386,235
20130529_02_Driv_066_f ,2,66,2,15,302,164,112,123,345,187,392,189,379,203,357,235,390,237
20130529_02_Driv_067_ll,2,67,3,30,313,163,107,124,360,189,403,192,393,206,367,237,400,239
20130529_02_Driv_068_f ,2,68,2,15,330,183,101,129,368,210,410,214,399,231,368,258,406,260
20130529_02_Driv_069_f ,2,69,2,15,325,182,105,135,365,210,411,214,399,232,366,257,406,260
20130529_02_Driv_070_f ,2,70,2,15,325,185,103,130,363,213,410,215,397,235,365,257,403,261
20130529_02_Driv_071_f ,2,71,2,15,322,187,108,127,362,213,410,216,396,236,365,261,405,263
20130529_02_Driv_072_f ,2,72,2,15,324,187,101,130,363,213,407,215,393,238,364,262,402,263
20130529_02_Driv_073_f ,2,73,2,15,322,184,105,131,362,214,409,215,393,238,362,261,403,263
20130529_02_Driv_074_f ,2,74,2,15,322,183,106,128,361,211,409,215,391,234,362,257,402,260
20130529_02_Driv_075_f ,2,75,2,15,320,172,107,134,360,205,408,206,393,227,359,251,401,253
20130529_02_Driv_076_f ,2,76,2,15,318,169,112,131,361,198,413,201,393,222,361,246,402,246
20130529_02_Driv_077_f ,2,77,2,0,318,161,108,127,356,189,408,191,387,217,358,238,399,238
20130529_02_Driv_078_f ,2,78,2,0,319,163,103,132,353,195,404,195,386,218,355,241,399,240
20130529_02_Driv_079_f ,2,79,2,0,311,169,108,128,350,199,398,200,381,224,351,246,391,245
20130529_02_Driv_080_f ,2,80,2,0,304,174,113,130,346,203,394,202,377,229,345,251,390,252
20130529_02_Driv_081_f ,2,81,2,0,306,175,111,129,344,203,396,203,374,230,345,249,386,249
20130529_02_Driv_082_f ,2,82,2,0,305,172,109,131,342,203,392,203,371,229,345,250,385,249
20130529_02_Driv_083_f ,2,83,2,0,307,174,104,129,343,203,393,203,371,228,344,249,387,249
20130529_02_Driv_084_f ,2,84,2,0,309,174,105,129,344,203,394,204,374,227,345,249,384,249
20130529_02_Driv_085_f ,2,85,2,0,311,174,107,134,347,203,396,204,376,229,348,249,388,250
20130529_02_Driv_086_f ,2,86,2,0,311,174,107,134,348,203,398,205,377,232,348,251,388,251
20130529_02_Driv_087_f ,2,87,2,0,313,173,108,132,351,202,400,204,382,229,347,249,390,250
20130529_02_Driv_088_f ,2,88,2,0,316,174,109,136,352,204,399,205,382,232,353,249,388,252
20130529_02_Driv_089_f ,2,89,2,0,316,178,107,134,351,204,399,205,383,232,353,251,393,253
20130529_02_Driv_090_f ,2,90,2,0,314,177,109,132,351,204,407,205,383,231,352,252,393,254
20130529_02_Driv_091_f ,2,91,2,0,317,176,109,136,351,203,400,204,382,232,355,252,391,253
20130529_02_Driv_092_f ,2,92,2,0,316,177,109,126,348,204,400,204,382,232,353,253,391,254
